Product,Current price,Current Price,old price,Old Price,Absolute Discount Value,Discount,Discount Percentage Category,Review,Number Reviews,Rating,Rating Star,Rating Category
115  Piece Set Of Multifunctional Precision Screwdrivers,KSh 950,950,"KSh 1,525",1525,575,38%,Medium discount,-2,2,4.5 out of 5,4.5,Excellent
Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,KSh 527,527,KSh 999,999,472,47%,High discount,-14,14,4.1 out of 5,4.1,Average
Portable Mini Cordless Car Vacuum Cleaner - Blue,"KSh 2,199",2199,"KSh 2,923",2923,724,25%,Medium discount,-24,24,4.6 out of 5,4.6,Excellent
Weighing Scale Digital Bathroom Body Fat Scale USB-Black,"KSh 1,580",1580,"KSh 2,499",2499,919,37%,Medium discount,-7,7,4.7 out of 5,4.7,Excellent
Portable Home Small Air Humidifier 3-Speed Fan - Green,"KSh 1,740",1740,"KSh 2,356",2356,616,26%,Medium discount,-5,5,4.8 out of 5,4.8,Excellent
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter","KSh 2,999",2999,"KSh 3,290",3290,291,9%,Low discount,-15,15,4 out of 5,4,Average
137 Pieces Cake Decorating Tool Set Baking Supplies,"KSh 2,319",2319,"KSh 3,032",3032,713,24%,Medium discount,-55,55,4.6 out of 5,4.6,Excellent
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,KSh 988,988,"KSh 1,580",1580,592,37%,Medium discount,-2,2,4 out of 5,4,Average
LASA FOLDING TABLE SERVING STAND,"KSh 1,274",1274,"KSh 2,800",2800,1526,55%,High discount,-5,5,4.8 out of 5,4.8,Excellent
13 In 1 Home Repair Tools Box Kit Set,"KSh 1,600",1600,"KSh 2,929",2929,1329,45%,High discount,-5,5,3.8 out of 5,3.8,Average
Genebre 115 In 1 Screwdriver Repairing Tool Set For IPhone Cellphone Hand Tool,KSh 799,799,KSh 999,999,200,20%,Medium discount,-12,12,4.1 out of 5,4.1,Average
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,KSh 990,990,"KSh 1,500",1500,510,34%,Medium discount,-39,39,4.7 out of 5,4.7,Excellent
40cm Gold DIY Acrylic Wall Sticker Clock,KSh 552,552,"KSh 1,035",1035,483,47%,High discount,-12,12,4.8 out of 5,4.8,Excellent
LASA Digital Thermometer And Hydrometer,KSh 501,501,KSh 860,860,359,42%,High discount,-6,6,4.5 out of 5,4.5,Excellent
Multifunction Laser Level With Adjustment Tripod,"KSh 1,680",1680,"KSh 2,499",2499,819,33%,Medium discount,-9,9,4.2 out of 5,4.2,Average
Anti-Skid Absorbent Insulation Coaster  For Home Office,KSh 332,332,KSh 684,684,352,51%,High discount,-2,2,5 out of 5,5,Excellent
Peacock  Throw Pillow Cushion Case For Home Car,KSh 195,195,KSh 360,360,165,46%,High discount,-2,2,5 out of 5,5,Excellent
LASA Aluminum Folding Truck Hand Cart - 68kg Max,"KSh 2,025",2025,"KSh 3,971",3971,1946,49%,High discount,-3,3,5 out of 5,5,Excellent
LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,"KSh 2,999",2999,"KSh 3,699",3699,700,19%,Low discount,-5,5,4.6 out of 5,4.6,Excellent
3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,KSh 998,998,"KSh 1,966",1966,968,49%,High discount,-44,44,4.6 out of 5,4.6,Excellent
3PCS Single Head Knitting Crochet Sweater Needle Set,KSh 38,38,KSh 80,80,42,53%,High discount,-13,13,3.3 out of 5,3.3,Average
"LED Romantic Spaceship Starry Sky Projector,Children's Bedroom Night Light-Blue",KSh 880,880,"KSh 1,350",1350,470,35%,Medium discount,-6,6,4 out of 5,4,Average
Foldable Overbed Table/Desk,"KSh 1,650",1650,"KSh 2,150",2150,500,23%,Medium discount,-14,14,4.4 out of 5,4.4,Average
LASA 3 Tier Bamboo Shoe Bench Storage Shelf,"KSh 2,048",2048,"KSh 4,500",4500,2452,54%,High discount,-7,7,4.3 out of 5,4.3,Average
Electronic Digital Display Vernier Caliper,KSh 420,420,KSh 647,647,227,35%,Medium discount,-49,49,4.6 out of 5,4.6,Excellent
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,"KSh 2,880",2880,"KSh 3,520",3520,640,18%,Low discount,-12,12,3.8 out of 5,3.8,Average
12 Litre Black Insulated Lunch Box,"KSh 1,350",1350,"KSh 1,990",1990,640,32%,Medium discount,-13,13,3.8 out of 5,3.8,Average
52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,"KSh 1,758",1758,"KSh 2,499",2499,741,30%,Medium discount,-20,20,4.1 out of 5,4.1,Average
Exfoliate And Exfoliate Face Towel - Black,KSh 185,185,KSh 382,382,197,52%,High discount,-9,9,4.3 out of 5,4.3,Average
12 Litre Insulated Lunch Box Grey,KSh 980,980,"KSh 1,490",1490,510,34%,Medium discount,-12,12,4.7 out of 5,4.7,Excellent
"LED Eye Protection  Desk Lamp , Study, Reading, USB Fan - Double Pen Holder","KSh 1,820",1820,"KSh 3,490",3490,1670,48%,High discount,-9,9,4.3 out of 5,4.3,Average
53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,"KSh 1,940",1940,"KSh 2,650",2650,710,27%,Medium discount,-20,20,4.7 out of 5,4.7,Excellent
53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,"KSh 1,980",1980,"KSh 2,699",2699,719,27%,Medium discount,-32,32,4.5 out of 5,4.5,Excellent
"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack","KSh 1,620",1620,"KSh 2,690",2690,1070,40%,Medium discount,-1,1,5 out of 5,5,Excellent
Classic Black Cat Cotton Hemp Pillow Case For Home Car,KSh 171,171,KSh 360,360,189,53%,High discount,-2,2,5 out of 5,5,Excellent
Punch-free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,KSh 389,389,KSh 656,656,267,41%,High discount,-36,36,4.3 out of 5,4.3,Average
"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey","KSh 1,800",1800,"KSh 2,700",2700,900,38%,Medium discount,-2,2,4.5 out of 5,4.5,Excellent
5 Pieces/set Of Stainless Steel Induction Cooker Pots,"KSh 2,170",2170,"KSh 2,500",2500,330,13%,Low discount,-6,6,2.5 out of 5,2.5,Poor
Mythco 120COB Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,KSh 458,458,KSh 986,986,528,54%,High discount,-10,10,3 out of 5,3,Poor
5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,"KSh 2,115",2115,"KSh 4,700",4700,2585,55%,High discount,-13,13,2.1 out of 5,2.1,Poor
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,KSh 445,445,KSh 873,873,428,49%,High discount,-69,69,2.8 out of 5,2.8,Poor
Intelligent  LED Body Sensor Wireless Lighting Night Light USB,KSh 325,325,KSh 680,680,355,52%,High discount,-15,15,2.7 out of 5,2.7,Poor
VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,"KSh 1,220",1220,"KSh 1,555",1555,335,22%,Medium discount,-16,16,2.9 out of 5,2.9,Poor
Artificial Potted Flowers Room Decorative Flowers (2 Pieces),KSh 990,990,"KSh 1,814",1814,824,45%,High discount,-6,6,2.2 out of 5,2.2,Poor
380ML USB Rechargeable Portable Small Blenders And Juicers,"KSh 1,000",1000,"KSh 2,000",2000,1000,50%,High discount,-7,7,2.3 out of 5,2.3,Poor
32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,"KSh 3,750",3750,"KSh 6,143",6143,2393,39%,Medium discount,-5,5,3 out of 5,3,Poor
Agapeon Toothbrush Holder And Toothpaste Dispenser,KSh 382,382,KSh 700,700,318,45%,High discount,-17,17,2.6 out of 5,2.6,Poor
Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,"KSh 2,300",2300,"KSh 3,240",3240,940,29%,Medium discount,-5,5,3 out of 5,3,Poor
Watercolour Gold Foil Textured Print Pillow Cover,KSh 345,345,KSh 602,602,257,43%,High discount,-6,6,2.3 out of 5,2.3,Poor
Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,KSh 509,509,KSh 899,899,390,43%,High discount,-5,5,3 out of 5,3,Poor
"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",KSh 968,968,"KSh 1,814",1814,846,47%,High discount,-6,6,2.2 out of 5,2.2,Poor
"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB","KSh 1,570",1570,"KSh 2,988",2988,1418,47%,High discount,-7,7,2.1 out of 5,2.1,Poor
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm","KSh 1,189",1189,"KSh 2,199",2199,1010,46%,High discount,-1,1,3 out of 5,3,Poor
Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,KSh 979,979,"KSh 1,920",1920,941,49%,High discount,-1,1,5 out of 5,5,Excellent
Household Pineapple Peeler Peeler,KSh 330,330,KSh 647,647,317,49%,High discount,-1,1,4 out of 5,4,Average
"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White","KSh 3,640",3640,"KSh 4,588",4588,948,21%,Medium discount,-1,1,5 out of 5,5,Excellent
Wall-mounted Sticker Punch-free Plug Fixer,KSh 450,450,KSh 900,900,450,50%,High discount,-1,1,2 out of 5,2,Poor
,,,,,,,,,,,,
,,,,,,,,,,,,
DESCRIPTIVE STATISTICS,,1303,,2055,,39%,,,,,3.889473684,
,MAXIMUM VALUE,3750,,,,,,,723,,,
,MINIMUM VALUE,38,,,,,,,,,,
0,,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Average of Discount,,Row Labels,Average of Rating Star,,,,,,,,
"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey",38%,,"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey",4.5,,,,,,,,
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,34%,,100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,4.7,,,,,,,,
115  Piece Set Of Multifunctional Precision Screwdrivers,38%,,115  Piece Set Of Multifunctional Precision Screwdrivers,4.5,,,,,,,,
12 Litre Black Insulated Lunch Box,32%,,12 Litre Black Insulated Lunch Box,3.8,,,,,,,,
12 Litre Insulated Lunch Box Grey,34%,,12 Litre Insulated Lunch Box Grey,4.7,,,,,,,,
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,49%,,120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,2.8,,,,,,,,
13 In 1 Home Repair Tools Box Kit Set,45%,,13 In 1 Home Repair Tools Box Kit Set,3.8,,,,,,,,
137 Pieces Cake Decorating Tool Set Baking Supplies,24%,,137 Pieces Cake Decorating Tool Set Baking Supplies,4.6,,,,,,,,
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter",9%,,"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter",4,,,,,,,,
32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,39%,,32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,3,,,,,,,,
380ML USB Rechargeable Portable Small Blenders And Juicers,50%,,380ML USB Rechargeable Portable Small Blenders And Juicers,2.3,,,,,,,,
3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,49%,,3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,4.6,,,,,,,,
3PCS Single Head Knitting Crochet Sweater Needle Set,53%,,3PCS Single Head Knitting Crochet Sweater Needle Set,3.3,,,,,,,,
40cm Gold DIY Acrylic Wall Sticker Clock,47%,,40cm Gold DIY Acrylic Wall Sticker Clock,4.8,,,,,,,,
5 Pieces/set Of Stainless Steel Induction Cooker Pots,13%,,5 Pieces/set Of Stainless Steel Induction Cooker Pots,2.5,,,,,,,,
52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,30%,,52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,4.1,,,,,,,,
53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,27%,,53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,4.5,,,,,,,,
53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,27%,,53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,4.7,,,,,,,,
5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,55%,,5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,2.1,,,,,,,,
"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",47%,,"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",2.2,,,,,,,,
Agapeon Toothbrush Holder And Toothpaste Dispenser,45%,,Agapeon Toothbrush Holder And Toothpaste Dispenser,2.6,,,,,,,,
Anti-Skid Absorbent Insulation Coaster  For Home Office,51%,,Anti-Skid Absorbent Insulation Coaster  For Home Office,5,,,,,,,,
Artificial Potted Flowers Room Decorative Flowers (2 Pieces),45%,,Artificial Potted Flowers Room Decorative Flowers (2 Pieces),2.2,,,,,,,,
Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,49%,,Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,5,,,,,,,,
Classic Black Cat Cotton Hemp Pillow Case For Home Car,53%,,Classic Black Cat Cotton Hemp Pillow Case For Home Car,5,,,,,,,,
DESCRIPTIVE STATISTICS,39%,,Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,4,,,,,,,,
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,37%,,"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack",5,,,,,,,,
"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack",40%,,"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB",2.1,,,,,,,,
"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB",47%,,Electronic Digital Display Vernier Caliper,4.6,,,,,,,,
Electronic Digital Display Vernier Caliper,35%,,Exfoliate And Exfoliate Face Towel - Black,4.3,,,,,,,,
Exfoliate And Exfoliate Face Towel - Black,52%,,Foldable Overbed Table/Desk,4.4,,,,,,,,
Foldable Overbed Table/Desk,23%,,Genebre 115 In 1 Screwdriver Repairing Tool Set For IPhone Cellphone Hand Tool,4.1,,,,,,,,
Genebre 115 In 1 Screwdriver Repairing Tool Set For IPhone Cellphone Hand Tool,20%,,Household Pineapple Peeler Peeler,4,,,,,,,,
Household Pineapple Peeler Peeler,49%,,Intelligent  LED Body Sensor Wireless Lighting Night Light USB,2.7,,,,,,,,
Intelligent  LED Body Sensor Wireless Lighting Night Light USB,52%,,"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White",5,,,,,,,,
"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White",21%,,Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,3,,,,,,,,
Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,29%,,LASA 3 Tier Bamboo Shoe Bench Storage Shelf,4.3,,,,,,,,
LASA 3 Tier Bamboo Shoe Bench Storage Shelf,54%,,LASA Aluminum Folding Truck Hand Cart - 68kg Max,5,,,,,,,,
LASA Aluminum Folding Truck Hand Cart - 68kg Max,49%,,LASA Digital Thermometer And Hydrometer,4.5,,,,,,,,
LASA Digital Thermometer And Hydrometer,42%,,LASA FOLDING TABLE SERVING STAND,4.8,,,,,,,,
LASA FOLDING TABLE SERVING STAND,55%,,"LED Eye Protection  Desk Lamp , Study, Reading, USB Fan - Double Pen Holder",4.3,,,,,,,,
"LED Eye Protection  Desk Lamp , Study, Reading, USB Fan - Double Pen Holder",48%,,"LED Romantic Spaceship Starry Sky Projector,Children's Bedroom Night Light-Blue",4,,,,,,,,
"LED Romantic Spaceship Starry Sky Projector,Children's Bedroom Night Light-Blue",35%,,LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,4.6,,,,,,,,
LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,19%,,"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm",3,,,,,,,,
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm",46%,,Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,4.1,,,,,,,,
Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,47%,,Multifunction Laser Level With Adjustment Tripod,4.2,,,,,,,,
Multifunction Laser Level With Adjustment Tripod,33%,,Mythco 120COB Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,3,,,,,,,,
Mythco 120COB Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,54%,,Peacock  Throw Pillow Cushion Case For Home Car,5,,,,,,,,
Peacock  Throw Pillow Cushion Case For Home Car,46%,,Portable Home Small Air Humidifier 3-Speed Fan - Green,4.8,,,,,,,,
Portable Home Small Air Humidifier 3-Speed Fan - Green,26%,,Portable Mini Cordless Car Vacuum Cleaner - Blue,4.6,,,,,,,,
Portable Mini Cordless Car Vacuum Cleaner - Blue,25%,,Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,3.8,,,,,,,,
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,18%,,Punch-free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,4.3,,,,,,,,
Punch-free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,41%,,VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,2.9,,,,,,,,
VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,22%,,Wall-mounted Sticker Punch-free Plug Fixer,2,,,,,,,,
Wall-mounted Sticker Punch-free Plug Fixer,50%,,Watercolour Gold Foil Textured Print Pillow Cover,2.3,,,,,,,,
Watercolour Gold Foil Textured Print Pillow Cover,43%,,Weighing Scale Digital Bathroom Body Fat Scale USB-Black,4.7,,,,,,,,
Weighing Scale Digital Bathroom Body Fat Scale USB-Black,37%,,Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,3,,,,,,,,
Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,43%,,Grand Total,3.889473684,,,,,,,,
Grand Total,39%,,,,,,,,,,,
,,,,,,,,,,,,
